BLACK FRIDAY SALES TABLE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Row Labels,Sum of Purchase,,,,,,,,,,,,,,,
Female,1164624021,,,,,,,,,,,,,,,
Male,3853044357,,,,,,,,,,,,,,,
Row Labels,Sum of Purchase,,,,,,,,,,,,,,,
Early Middle Age,1999749106,,,,,,,,,,,,,,,
Late Adulthood,413418223,,,,,,,,,,,,,,,
Middle Age,1010649565,,,,,,,,,,,,,,,
Middle Late Adulthood,361908356,,,,,,,,,,,,,,,
Old,197614842,,,,,,,,,,,,,,,
Teen,132659006,,,,,,,,,,,,,,,
Young Adult,901669280,,,,,,,,,,,,,,,
Row Labels,Sum of Purchase,Sum of Product_Category_1,,,,,,,,,,,,,,
Married,2051378878,1184115,,,,,,,,,,,,,,
Unmarried,2966289500,1662649,,,,,,,,,,,,,,
Row Labels,Sum of Purchase,,,,,,,,,,,,,,,
A,1295668797,,,,,,,,,,,,,,,
B,2083431612,,,,,,,,,,,,,,,
C,1638567969,,,,,,,,,,,,,,,
Row Labels,Sum of Product_Category_1,Sum of Purchase,,,,,,,,,,,,,,
Early Middle Age,1120056,1999749106,,,,,,,,,,,,,,
Late Adulthood,250663,413418223,,,,,,,,,,,,,,
Middle Age,579163,1010649565,,,,,,,,,,,,,,
Middle Late Adulthood,212529,361908356,,,,,,,,,,,,,,
Old,123256,197614842,,,,,,,,,,,,,,
Teen,72599,132659006,,,,,,,,,,,,,,
Young Adult,488498,901669280,,,,,,,,,,,,,,
Grand Total,2846764,5017668378,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
