Product Names,Product Price,Percentage Off,Product Link,Product Type,Special Product,Product Rating,Customer Rated,Sizes
METRONAUT,₹299,85% off,https://www.flipkart.com/metronaut-solid-men-round-neck-dark-green-t-shirt/p/itm620c29b9beba4?pid=TSHGMG28ZSHNZZEK&lid=LSTTSHGMG28ZSHNZZEKOSDQ7L&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_1&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=en_pJmcus6RcPCrbTHey04OaX3UxN7gg6iGSMj_O6MWzkGB5w-eWgs_KUgpD9YCwKBbPtptgzd1V3pebsMsKB1OPw%3D%3D&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
METRONAUT By Flipkart,₹319,84% off,https://www.flipkart.com/metronaut-solid-men-polo-neck-black-t-shirt/p/itm6684dc324e12a?pid=TSHGMJ9UGCZ3XHTX&lid=LSTTSHGMJ9UGCZ3XHTX04FYHR&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_2&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=en_pJmcus6RcPCrbTHey04OaX3UxN7gg6iGSMj_O6MWzkEeyIimyX8ho9TuxoIJYQaM2l-Ingu7gC_BTYh_f8dMsw%3D%3D&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
AUSK,₹199,86% off,https://www.flipkart.com/ausk-striped-men-round-neck-blue-black-t-shirt/p/itmc4b97a0badb26?pid=TSHGHU9FWVZFMTEH&lid=LSTTSHGHU9FWVZFMTEHL7DCSL&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_3&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGHU9FWVZFMTEH.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
VeBNoR,₹279,79% off,https://www.flipkart.com/vebnor-checkered-men-round-neck-grey-t-shirt/p/itmc26ddb56a2a48?pid=TSHGP6JCR9GHVEYY&lid=LSTTSHGP6JCR9GHVEYYUVGU7L&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_4&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGP6JCR9GHVEYY.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
AUSK,₹199,86% off,https://www.flipkart.com/ausk-striped-men-round-neck-light-blue-white-t-shirt/p/itm705ccbfff5d1a?pid=TSHGZBP8X8UGG5SK&lid=LSTTSHGZBP8X8UGG5SKKQI5CE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_5&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGZBP8X8UGG5SK.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
NB NICKY BOY,₹239,69% off,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm8cd9c96a67f21?pid=TSHGC74BRSQZQQPP&lid=LSTTSHGC74BRSQZQQPPZQRTGJ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_6&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGC74BRSQZQQPP.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
MBFMart,₹249,64% off,https://www.flipkart.com/mbfmart-printed-men-round-neck-white-t-shirt/p/itm3334180341cc7?pid=TSHGRZGKKW4B2AN4&lid=LSTTSHGRZGKKW4B2AN4ADFAIT&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_7&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGRZGKKW4B2AN4.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
METRONAUT,₹299,85% off,https://www.flipkart.com/metronaut-solid-men-round-neck-light-blue-t-shirt/p/itm29fe5620c9e02?pid=TSHGNBYFHQ9FKVFG&lid=LSTTSHGNBYFHQ9FKVFGXXLXO6&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_8&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=en_pJmcus6RcPCrbTHey04OaX3UxN7gg6iGSMj_O6MWzkGAQS75DeNSZkEpiXTwxmy-lcG-3uCOlFQPg-BGlDorag%3D%3D&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
AUSK,₹199,86% off,https://www.flipkart.com/ausk-striped-men-round-neck-pink-white-t-shirt/p/itm039853d3b4a22?pid=TSHGZBP8NQK2JAXW&lid=LSTTSHGZBP8NQK2JAXWXXJWHU&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_9&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGZBP8NQK2JAXW.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
NB NICKY BOY,₹239,64% off,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-light-blue-t-shirt/p/itm0f2494eef7d30?pid=TSHGKRPJNQGMYWN2&lid=LSTTSHGKRPJNQGMYWN2GWNIUZ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&spotlightTagId=BestsellerId_clo%2Fash%2Fank%2Fedy&srno=b_1_10&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGKRPJNQGMYWN2.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
