,User ID,Subscription Type,Monthly Revenue,Country,Age,Gender,Device,Plan Duration,Join Year,Join Month,Join Day,Last Payment Year,Last Payment Month,Last Payment Day
0,1,0,10,United States,28,1,Smartphone,1 Month,2022,1,15,2023,10,6
1,2,1,15,Canada,35,0,Tablet,1 Month,2021,5,9,2023,6,22
2,3,2,12,United Kingdom,42,1,Smart TV,1 Month,2023,2,28,2023,6,27
3,4,2,12,Australia,51,0,Laptop,1 Month,2022,10,7,2023,6,26
4,5,0,10,Germany,33,1,Smartphone,1 Month,2023,1,5,2023,6,28
5,6,1,15,France,29,0,Smart TV,1 Month,2022,3,18,2023,6,27
6,7,2,12,Brazil,46,1,Tablet,1 Month,2021,9,12,2023,6,25
7,8,0,10,Mexico,39,0,Laptop,1 Month,2023,2,4,2023,6,24
8,9,2,12,Spain,37,1,Smartphone,1 Month,2022,10,20,2023,6,23
9,10,1,15,Italy,44,0,Smart TV,1 Month,2023,7,1,2023,6,22
10,11,0,10,United States,31,0,Smartphone,1 Month,2022,5,16,2023,6,22
11,12,1,15,Canada,45,1,Tablet,1 Month,2023,3,23,2023,6,28
12,13,2,12,United Kingdom,48,0,Laptop,1 Month,2021,11,30,2023,6,27
13,14,0,10,Australia,27,1,Smartphone,1 Month,2022,1,8,2023,6,26
14,15,2,12,Germany,38,0,Smart TV,1 Month,2023,9,5,2023,6,28
15,16,1,15,France,36,1,Tablet,1 Month,2022,7,4,2023,6,27
16,17,0,10,Brazil,30,0,Laptop,1 Month,2022,1,24,2023,6,25
17,18,2,12,Mexico,43,1,Smartphone,1 Month,2021,10,18,2023,6,24
18,19,1,15,Spain,32,0,Smart TV,1 Month,2023,2,15,2023,6,23
19,20,0,10,Italy,41,1,Tablet,1 Month,2023,5,27,2023,6,22
20,21,1,15,United States,26,0,Laptop,1 Month,2023,10,6,2023,6,22
21,22,0,10,Canada,34,1,Smartphone,1 Month,2022,7,22,2023,6,28
22,23,2,12,United Kingdom,49,0,Smart TV,1 Month,2021,5,12,2023,6,27
23,24,2,12,Australia,31,1,Tablet,1 Month,2022,3,4,2023,6,26
24,25,0,10,Germany,40,0,Laptop,1 Month,2023,3,14,2023,6,28
25,26,1,15,France,29,1,Smartphone,1 Month,2022,12,1,2023,6,27
26,27,0,10,Brazil,47,0,Smart TV,1 Month,2022,8,29,2023,6,25
27,28,2,12,Mexico,33,1,Tablet,1 Month,2021,9,27,2023,6,24
28,29,1,15,Spain,36,0,Laptop,1 Month,2022,12,19,2023,6,23
29,30,0,10,Italy,42,1,Smartphone,1 Month,2023,5,17,2023,6,22
30,31,1,15,United States,28,0,Smart TV,1 Month,2023,3,2,2023,6,22
31,32,0,10,Canada,37,1,Tablet,1 Month,2022,7,7,2023,6,28
32,33,2,12,United Kingdom,41,0,Laptop,1 Month,2022,1,21,2023,6,27
