Title,Video Link,Date,Thumbnail Link,Views,Description,Likes
Cloud Cultures: United Kingdom (trailer),/watch?v=o8au159Qwks,16 hours ago,https://i.ytimg.com/vi/o8au159Qwks/hqdefault.jpg,1.9K views,"The Cloud Cultures series highlights people from some of the fastest growing cloud markets who are using technology to improve the world around them along with the powerful themes of innovation converged with local customs, values, and ways of living. These stories show firsthand how technology and tradition combine to form cloud cultures. This epi",76
Jared Spataro on Why You’re Overwhelmed at Work | Microsoft WorkLab Podcast,/watch?v=3LX3coA52UE,19 hours ago,https://i.ytimg.com/vi/3LX3coA52UE/hqdefault.jpg,1.1K views,"Can AI fix work? Microsoft's Jared Spataro, Corporate Vice President, Modern Work & Business Applications, and Colette Stallbaumer, general manager of Microsoft 365 and the Future of Work, discuss the latest Work Trend Index report and share their experiences using Microsoft 365 Copilot to transform work. This is Season 4 episode 7 of the WorkLab ",42
"The Positive Leadership Podcast with Jean-Philippe Courtois: Hugo Clément, Journalist",/watch?v=vHmfhbytYfI,6 days ago,https://i.ytimg.com/vi/vHmfhbytYfI/hqdefault.jpg,624 views,"""Hugo Clément est un journaliste bien décidé à faire bouger les choses. Il a créé sa propre société de médias indépendante, Vakita, pour faire entendre sa voix et diffuser des enquêtes approfondies avec le souci de l’intérêt public, qui lui tient à cœur.",14
Microsoft's Jenny Lay-Flurrie On Why Inclusivity Benefits Everyone | Microsoft WorkLab Podcast,/watch?v=tNwxpFMphMI,7 days ago,https://i.ytimg.com/vi/tNwxpFMphMI/hqdefault.jpg,1.5K views,"In this episode of WorkLab, Microsoft Chief Accessibility Officer Jenny Lay-Flurrie shares why inclusion for people with disabilities—from the workplace to a product to a company’s culture—benefits everyone. Lay-Flurrie is the sixth guest for season 4 of the WorkLab podcast, in which hosts Elise Hu and Mary Melton have conversations with economists, t",43
‘The Happiness Project’ Author Gretchen Rubin on Wellbeing at Work | Microsoft WorkLab Podcast,/watch?v=ljvXQFVKT_Q,2 weeks ago,https://i.ytimg.com/vi/ljvXQFVKT_Q/hqdefault.jpg,2.4K views,"Gretchen Rubin is an expert on happiness and the author of the New York Times bestselling book The Happiness Project. In this episode of WorkLab, Rubin shares what she’s learned from more than a decade of studying wellbeing—and how her findings can apply to our working lives.  ",42
Cloud Cultures: Sweden,/watch?v=pdGCRN0rBOA,2 weeks ago,https://i.ytimg.com/vi/pdGCRN0rBOA/hqdefault.jpg,6.9K views,"The Cloud Cultures series highlights people from some of the fastest growing cloud markets who are using technology to improve the world around them along with the powerful themes of innovation converged with local customs, values, and ways of living. These stories show firsthand how technology and tradition combine to form cloud cultures. This epi",194
"The Positive Leadership Podcast with Jean-Philippe Courtois: Boyan Slat, inventor",/watch?v=OeoUcLhVxBA,2 weeks ago,https://i.ytimg.com/vi/OeoUcLhVxBA/hqdefault.jpg,1.4K views,"Humans create more than 400 million metric tons of plastic every year. Around a million tons of that plastic ends up in the ocean.
",33
Cloud Cultures: Sweden (Trailer),/watch?v=FfiQ0SWkK18,3 weeks ago,https://i.ytimg.com/vi/FfiQ0SWkK18/hqdefault.jpg,1.8K views,"The Cloud Cultures series highlights people from some of the fastest growing cloud markets who are using technology to improve the world around them along with the powerful themes of innovation converged with local customs, values, and ways of living. These stories show firsthand how technology and tradition combine to form cloud cultures. This epi",33
Journalist Marcus Wohlsen on AI in the Workplace | Microsoft WorkLab Podcast,/watch?v=ff61svGZ85I,3 weeks ago,https://i.ytimg.com/vi/ff61svGZ85I/hqdefault.jpg,2K views,"New innovations in AI sound exciting, but how will they actually change the way we work? Marcus Wohlsen is here to share some insights. Wohlsen is a journalist, author, and the head of editorial at the storytelling firm Godfrey Dadich Partners, and he has a special expertise on the past and future of AI. He provides a unique perspective—and some much-nee",60
"will.i.am: Entrepreneur, Philanthropist, Musician, and Producer",/watch?v=TOtH45O6l50,4 weeks ago,https://i.ytimg.com/vi/TOtH45O6l50/hqdefault.jpg,2.8K views,"will.i.am is most well-known as the founder and lead member of the Black Eyed Peas. Simultaneously, he is also an entrepreneur and Founder & CEO of FYI.AI, a Web 3.0 AI messenger, where he spends a lot of his time investing in software and operating systems incorporating AI, natural language understanding, and voice computing. In this episode, Kev",80
